panel	gid	tpm_Ar	tpm_As	tpm_Br	tpm_Bs	tpm_Hr	tpm_Hs	SS_Ar_As	SS_Br_Bs	SS_As_Bs	SS_Hs_As	SS_Hs_Bs	SS_Hs_Ms	tag	link
variable (1042)	Zm00001d042540	67.4084706737501	26.73138520964042	220.285194893554	99.90825075365113	47.65764145238406	16.72014744149233	0.08345741953297563	0.03938335641157691	0.3011902617675312	0.1990089918946302	0.1270055388640219	0.1257747868545551	variable	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/Zm00001d042540.json
variable (1042)	Zm00001d042567	14.91417523041833	9.524037895705245	7.2266113262412555	10.120810846878268	9.977107865031623	13.027009727035342	0.06843093093093094	0.0824868058474616	0.10012320012320013	0.21163557924121307	0.11151237911801293	0.1535437524746875	variable	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/Zm00001d042567.json
variable (1042)	Zm00001d042632	8.174575450537487	4.572739225806806	3.565640489830928	2.1409383291111883	3.293414246709468	5.098040247350161	0.0593072417671929	0.09201388888888888	0.24508909566380827	0.07462141944900563	0.18518518518518517	0.0882426050211285	variable	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/Zm00001d042632.json
variable (1042)	Zm00001d042667	11.14194572676306	11.70164393124996	9.086715659747137	6.007245184234579	9.492782240515524	13.63260530440886	0.06633422586767898	0.06815825925823998	0.10342690445914324	0.10186313255876141	0.1282587668983512	0.09720609859917959	variable	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/Zm00001d042667.json
variable (1042)	Zm00001d042709	18.89178801161757	10.010215197932341	13.026595568119328	6.385205483114413	17.048261982966658	9.055649026844863	0.09593723558861315	0.06588148010757677	0.12485729112610276	0.0695921985815603	0.14539295392953933	0.08200539881574365	variable	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/Zm00001d042709.json
variable (1042)	Zm00001d042760	22.814521622109453	17.854635276623732	5.221155492952377	4.465740593171134	14.917229235095824	8.935509309130884	0.06818508481486035	0.09633986928104576	0.23356520193573918	0.06287029538382843	0.23678160919540225	0.0581656707417357	variable	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/Zm00001d042760.json
variable (1042)	Zm00001d042787	3.832558598357688	1.4615951111066863	2.845331281012888	1.3827453010273403	2.421628122580491	1.3262735710737033	0.09120439780109943	0.06634730538922155	0.16985507246376813	0.11180124223602478	0.14952380952380953	0.0873015873015873	variable	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/Zm00001d042787.json
variable (1042)	Zm00001d042813	44.64818650260978	126.83582940801892	8.592628249696931	44.89282244713883	2.0341676229676122	34.29201988027088	0.06036139527540193	0.05543129280821918	0.4820684031326283	0.19589198421990542	0.5282231343652638	0.20031810706832845	variable	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/Zm00001d042813.json
variable (1042)	Zm00001d042884	37.87093054444833	10.084459485504624	28.870971390729625	8.974550935347171	44.364227205674595	10.336289198839568	0.0755715835576807	0.08841214265899937	0.13850524047409152	0.15191568083345508	0.03459346367505951	0.10363887609396583	variable	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/Zm00001d042884.json
variable (1042)	Zm00001d042950	70.93700531259357	30.948682181635284	55.96467908686436	19.8222658994221	16.46707123354734	12.40393773304019	0.048638481449525484	0.05592141009758534	0.18589618129543212	0.05387160131980006	0.16684059274005816	0.04211480565410575	variable	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/Zm00001d042950.json
variable (1042)	Zm00001d043012	6.789440468288763	3.756238682269828	5.0126469999894	2.7439731251504726	3.293414246709468	1.8958539122408826	0.09096020171732315	0.08506367663344405	0.10552536231884055	0.1778985507246377	0.12083333333333332	0.17103825136612016	variable	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/Zm00001d043012.json
variable (1042)	Zm00001d043018	67.53688673583939	42.82378065041431	39.35941745601401	22.07347586470036	17.920048107095635	8.696741516145778	0.0876273625094708	0.07130277537542262	0.10102653395358513	0.19074853685491525	0.2557189031383589	0.20189945604492016	variable	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/Zm00001d043018.json
variable (1042)	Zm00001d043097	26.929907055198058	7.241486692141609	19.468197423683726	8.343174604797506	3.0996839969030283	7.150812344491871	0.06460696379656458	0.09111295681063125	0.12116351972005539	0.1927206147529614	0.13077352776879425	0.1174280769356366	variable	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/Zm00001d043097.json
variable (1042)	Zm00001d043125	3.667324715255384	9.90736414505915	2.2422282439568972	9.954587727183114	12.786196487224993	14.31415311804031	0.055432703058613086	0.052215799614643524	0.15774830307245818	0.21857076994006455	0.07573538856775854	0.14272473478503628	variable	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/Zm00001d043125.json
variable (1042)	Zm00001d043134	10.043333407289857	9.825164480238909	9.178971282241845	4.854476401754762	15.498419984515142	5.433530380598916	0.06459651459651454	0.09904677734991477	0.12015081692501048	0.051676230745998177	0.10142535633908477	0.049748261807719976	variable	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/Zm00001d043134.json
