pnl	gid	SS_Ar_As	SS_Ar_Br	SS_Ar_Bs	SS_As_Bs	SS_Bhusk_Bs	SS_Br_Bs	SS_Bstem_Bs	SS_Hr_Ar	SS_Hr_Br	SS_Hr_Mr	SS_Hs_As	SS_Hs_Bs	SS_Hs_Ms
stable (633)	Zm00001d053765	0.016030012527024677	0.01633809922073095	0.029295641788319775	0.01963384278968063	0.04220213853218675	0.016936812178054733	0.04197155997509359	0.24770830639087732	0.2547257105089226	0.25532189492863655	0.06737263686657843	0.0766079870887386	0.07529779835325703
stable (633)	Zm00001d029353	0.08844036697247706	0.02	0.03692307692307692	0.060691601976005656	0.0846930846930847	0.05128205128205128	0.0695062513244332	NA	NA	NA	NA	NA	NA
stable (633)	Zm00001d029359	0.03967837476246778	0.01250557367714561	0.030951507622120355	0.026938135362559842	0.04389863643227669	0.018445933944974745	0.04141073625922888	0.029524722276632213	0.024139822443078624	0.021615780323418314	0.1416678040125563	0.13791439463398156	0.15276958550056302
stable (633)	ENSRNA049466676	0.02673796791443851	0.07986845196147518	0.08645406025318686	0.073679253360733	0.019928320673247464	0.01244187585205154	0.016655165814198902	0.1810966810966811	0.18732172220544313	0.19162527996883824	0.0683677444487729	0.016667148654771202	0.02620847890702404
stable (633)	Zm00001d053996	0.034609956055616085	0.04261839352817118	0.0507837274621728	0.06795234982203825	0.07322194345095119	0.03969415975272497	0.051597957142105036	0.1088846148111702	0.1132753859554831	0.10628839040282352	0.0499412229481027	0.026949241234955398	0.04349170498238823
stable (633)	Zm00001d029392	0.08515091429830358	0.08297532496144526	0.07794117647058824	0.08512888301387972	0.04082045472934703	0.07967614011896894	0.05610859728506792	0.7343514328808447	0.7095937770095074	0.7230769230769232	0.11740620834126834	0.0695912263210369	0.07375171781951445
stable (633)	Zm00001d029394	0.09061090883319597	0.044402491313104114	0.0469543147208122	0.044502617801047056	0.07942838152210034	0.014408363435681266	0.05613077748239365	0.0889207415793253	0.04764833527518739	0.07860365289711302	0.09407641771132078	0.05389888963660834	0.07778533436790437
stable (633)	ENSRNA049463813	0.03305548539193401	0.061472962543588354	0.0741129858454076	0.04105750045347359	0.09805133639467797	0.015030887046858505	0.04295635914387792	0.07215863348384613	0.014754387034290332	0.015377945056364296	0.05328185328185325	0.01677852348993285	0.013816475495307606
stable (633)	ENSRNA049463828	0.06583292498455379	0.02396290544038535	0.02080239925905235	0.04995362787852479	0.07304251124703029	0.029720432797548355	0.026187713441963033	0.027505697733085126	0.008082303308415306	0.009083994906810007	0.10674619498148917	0.05762134544422373	0.06458492003046462
stable (633)	Zm00001d013127	0.020191969596085754	0.016754440727164047	0.007249283667621826	0.02744125326370758	0.016886792452830177	0.024003724394785875	0.03571511291256513	0.05408309455587393	0.0540037243947858	0.05324267782426778	0.05335452378249517	0.03565217391304347	0.05075056389515439
stable (633)	Zm00001d013159	0.03693417584302066	0.006356330736081026	0.01919709161845225	0.01981491291217873	0.04547667838185405	0.024579939834177122	0.020683982429776492	0.17353051661756858	0.16888947058438583	0.167006522988182	0.09471778781505362	0.07610722610722609	0.08088783463232803
stable (633)	Zm00001d013271	0.07653619496030412	0.02352616849966931	0.09674552652522755	0.056194914531272705	0.069534918951674	0.09937563199324473	0.041213098337739174	0.09186407659297158	0.08228280715275291	0.09747462873711844	0.057615218434949614	0.09289198606271779	0.07715455140798952
stable (633)	Zm00001d027441	0.09253636938646427	0.04049694856146465	0.0662058371735791	0.08375350140056032	0.059961488936929264	0.06332046332046332	0.036196650459211235	NA	NA	NA	NA	NA	NA
stable (633)	Zm00001d013410	0.07117609948752518	0.03432669428775853	0.040461067984003694	0.06950667330441174	0.08174025118706603	0.04397736090191252	0.07835026212319791	0.15395763656633216	0.13582089552238802	0.15774647887323945	0.31782945736434115	0.3149847094801224	0.3257861635220126
stable (633)	Zm00001d013528	0.026441071454809936	0.06737219523479068	0.06450143191877118	0.05943503327916659	0.04881177526403576	0.03353598147217018	0.054045897938141456	0.24574869013696113	0.19285164802651042	0.25804557199906036	0.036059479553903324	0.07198935462408518	0.023687423687423683
stable (633)	Zm00001d029490	0.09898981466021037	0.04305019756376984	0.08312824719715614	0.07367149758454108	0.09468141126908897	0.0771959125765494	0.09810398708026592	0.19329140461215943	0.20487401900041316	0.20225294418842812	0.12071160140623108	0.07507775792469062	0.09160406539991166
